21:43:53 | INFO     | Gateway         | Running two streams: prices (9999) and sentiment (9998)
21:43:53 | INFO     | Gateway         | PriceStream: Stream started on 127.0.0.1:9999
21:43:53 | INFO     | Gateway         | NewsStream: Stream started on 127.0.0.1:9998
21:43:54 | INFO     | OrderBook       | Connected to price feed at 127.0.0.1:9999
21:43:54 | INFO     | Gateway         | PriceStream: Client connected from ('127.0.0.1', 60179)
21:43:55 | INFO     | Strategy        | Strategy started, waiting for order manager connection...
21:43:55 | INFO     | Strategy        | Connected to news stream at 127.0.0.1:9998
21:43:55 | INFO     | Gateway         | NewsStream: Client connected from ('127.0.0.1', 60182)
21:43:55 | INFO     | Strategy        | Listening for order manager on 127.0.0.1:9997
21:43:56 | INFO     | OrderManager    | Order manager starting, connecting to 127.0.0.1:9997
21:43:56 | INFO     | OrderManager    | Connected to strategy at 127.0.0.1:9997
21:43:56 | INFO     | Strategy        | Order manager connected from ('127.0.0.1', 60184)
21:43:56 | INFO     | OrderManager    | Order #1: BUY 10 AAPL @ 100
21:43:56 | INFO     | OrderManager    | Order #2: BUY 10 AAPL @ 100
21:43:56 | INFO     | OrderManager    | Order #3: BUY 10 AAPL @ 100
21:43:59 | INFO     | OrderManager    | Order #4: BUY 10 AAPL @ 100
21:43:59 | INFO     | OrderManager    | Order #5: BUY 10 AAPL @ 100
21:43:59 | INFO     | OrderManager    | Order #6: BUY 10 AAPL @ 100
21:44:02 | INFO     | OrderManager    | Order #7: BUY 10 AAPL @ 100
21:44:02 | INFO     | OrderManager    | Order #8: BUY 10 AAPL @ 100
21:44:02 | INFO     | OrderManager    | Order #9: BUY 10 AAPL @ 100
21:44:05 | INFO     | OrderManager    | Order #10: BUY 10 AAPL @ 100
21:44:05 | INFO     | OrderManager    | Order #11: BUY 10 AAPL @ 100
21:44:05 | INFO     | OrderManager    | Order #12: BUY 10 AAPL @ 100
21:44:08 | INFO     | OrderManager    | Order #13: BUY 10 AAPL @ 100
21:44:08 | INFO     | OrderManager    | Order #14: BUY 10 AAPL @ 100
21:44:08 | INFO     | OrderManager    | Order #15: BUY 10 AAPL @ 100
21:44:11 | INFO     | OrderManager    | Order #16: BUY 10 AAPL @ 100
21:44:11 | INFO     | OrderManager    | Order #17: BUY 10 AAPL @ 100
21:44:11 | INFO     | OrderManager    | Order #18: BUY 10 AAPL @ 100
21:44:14 | INFO     | OrderManager    | Order #19: BUY 10 AAPL @ 100
21:44:14 | INFO     | OrderManager    | Order #20: BUY 10 AAPL @ 100
21:44:14 | INFO     | OrderManager    | Order #21: BUY 10 AAPL @ 100
21:44:17 | INFO     | OrderManager    | Order #22: BUY 10 AAPL @ 100
21:44:17 | INFO     | OrderManager    | Order #23: BUY 10 AAPL @ 100
21:44:17 | INFO     | OrderManager    | Order #24: BUY 10 AAPL @ 100
21:44:20 | INFO     | OrderManager    | Order #25: BUY 10 AAPL @ 100
21:44:20 | INFO     | OrderManager    | Order #26: BUY 10 AAPL @ 100
21:44:20 | INFO     | OrderManager    | Order #27: BUY 10 AAPL @ 100
21:44:23 | INFO     | OrderManager    | Order #28: BUY 10 AAPL @ 100
21:44:23 | INFO     | OrderManager    | Order #29: BUY 10 AAPL @ 100
21:44:23 | INFO     | OrderManager    | Order #30: BUY 10 AAPL @ 100
21:44:26 | INFO     | OrderManager    | Order #31: BUY 10 AAPL @ 100
21:44:26 | INFO     | OrderManager    | Order #32: BUY 10 AAPL @ 100
21:44:26 | INFO     | OrderManager    | Order #33: BUY 10 AAPL @ 100
21:44:29 | INFO     | OrderManager    | Order #34: BUY 10 AAPL @ 100
21:44:29 | INFO     | OrderManager    | Order #35: BUY 10 AAPL @ 100
21:44:29 | INFO     | OrderManager    | Order #36: BUY 10 AAPL @ 100
21:44:32 | INFO     | OrderManager    | Order #37: BUY 10 AAPL @ 100
21:44:32 | INFO     | OrderManager    | Order #38: BUY 10 AAPL @ 100
21:44:32 | INFO     | OrderManager    | Order #39: BUY 10 AAPL @ 100
21:44:35 | INFO     | OrderManager    | Order #40: BUY 10 AAPL @ 100
21:44:35 | INFO     | OrderManager    | Order #41: BUY 10 AAPL @ 100
21:44:35 | INFO     | OrderManager    | Order #42: BUY 10 AAPL @ 100
21:44:38 | INFO     | OrderManager    | Order #43: BUY 10 AAPL @ 100
21:44:38 | INFO     | OrderManager    | Order #44: BUY 10 AAPL @ 100
21:44:38 | INFO     | OrderManager    | Order #45: BUY 10 AAPL @ 100
21:44:41 | INFO     | OrderManager    | Order #46: BUY 10 AAPL @ 100
